city,Coord,overall rank,AVG RANKING,Sports Events and Races Rank,Sports Events and Races,Running Clubs in the UK Rank,Running Clubs in the UK,number of Routes in Each City Rank,number of Routes in Each City,Post about City in Running Forum Rank,Post about City in Running Forum,Instagram Hashtags Rank,Instagram Hashtags
Aberdeen,57.15202797440568; -2.0968846774968655,30,193.8888889,50,3,62,110,4,483,14,40,29,1000
Bangor,53.22766715730558; -4.128768774141572,38,101.4444444,36,3,12,320,8,434,61,1,53,21
Bath,51.37788013059579; -2.35939845864563,1,308.3333333,8,16,7,810,1,957,6,220,21,737
Birmingham,52.486425042893316; -1.893700236107256,23,301.7777778,33,54,55,875,10,446,3,170,45,1058
Bradford,53.79291255340834; -1.7550496028752123,42,97.88888889,54,2,43,463,19,211,11,49,58,25
Brighton & Hove,50.82334499583529; -0.1423002781044366,2,581.3333333,16,18,27,445,5,335,2,248,2,4150
Bristol,51.45519812794298; -2.5910635244954117,6,1374,12,93,45,892,3,1487,5,146,8,9687
Cambridge,52.195372376624476; 0.13541871318740276,9,540.3333333,31,9,34,411,9,820,13,71,4,3492
Canterbury,51.28036209787739; 1.0792153104352649,22,77.11111111,24,4,15,278,15,268,28,25,59,2
Cardiff,51.48361505421459; -3.1717503949519252,11,1032.333333,22,37,44,667,21,655,4,192,7,7664
Carlisle,54.892868054347325; -2.933506460992573,55,55.88888889,34,4,52,80,42,151,44,23,50,57
Chelmsford,51.73609039452702; 0.47001517170324186,18,146.4444444,38,4,11,624,16,313,32,13,39,266
Chester,53.19351030468206; -2.895092180870007,4,311.7777778,2,23,8,680,45,225,8,121,5,1691
Chichester,50.838128915218476; -0.7733883870478583,14,83.22222222,1,16,6,323,44,213,33,16,40,58
Colchester,51.896186968271586; 0.8929861054687023,16,208.7777778,40,4,31,363,12,412,29,12,20,996
Coventry,52.413453498167904; -1.508740884560908,29,307.7777778,47,6,24,1175,18,1130,19,42,47,309
Derby,52.92319947441461;  -1.4719372699248991,15,203.8888889,39,9,28,847,6,452,10,78,41,364
Doncaster,53.52269683194779;  -1.128609243119285,47,185.5555556,52,2,18,563,52,98,43,31,27,836
Dundee,56.46186643271838; -2.9702688635779637,48,74.66666667,44,3,49,172,29,183,24,20,46,146
Dunfermline,56.07197068003903; -3.454317703972262,40,136.8888889,58,0,4,654,13,440,52,7,56,6
Durham,54.775714840574395; -1.5834962320332913,3,205.2222222,5,9,2,691,7,448,30,37,12,611
Edinburgh,55.95463782192914; -3.191951584348492,24,788.8888889,30,29,48,565,48,361,7,348,13,5681
Exeter,50.72572496776902; -3.5307143274922326,33,197,35,6,38,243,37,718,27,24,26,654
